timestamp,earth_humidity,air_temperature,air_humidity,luminance,label
2026-01-12 17:21:53.973666,77.6,21.1,71.6,34695.4,0
2026-01-12 17:36:53.973666,79.3,21.1,72.9,24911.4,0
2026-01-12 17:51:53.973666,34.4,35.0,73.1,34481.6,1
2026-01-12 18:06:53.973666,66.4,19.8,70.6,19218.3,0
2026-01-12 18:21:53.973666,65.4,30.1,90.8,32697.3,1
2026-01-12 18:36:53.973666,68.8,19.6,73.3,20132.3,0
2026-01-12 18:51:53.973666,77.2,26.5,75.4,53358.5,1
2026-01-12 19:06:53.973666,66.1,21.0,77.3,39715.0,0
2026-01-12 19:21:53.973666,70.2,41.3,70.1,19281.6,1
2026-01-12 19:36:53.973666,71.0,19.2,23.7,27527.3,1
2026-01-12 19:51:53.973666,86.1,8.4,97.0,12979.5,2
2026-01-12 20:06:53.973666,78.5,1.5,79.5,20179.0,1
2026-01-12 20:21:53.973666,61.0,23.5,72.5,26824.4,0
2026-01-12 20:36:53.973666,75.5,41.1,98.5,34608.1,1
2026-01-12 20:51:53.973666,60.6,18.3,73.8,28845.5,0
2026-01-12 21:06:53.973666,70.3,21.0,75.1,25454.0,0
2026-01-12 21:21:53.973666,62.7,20.6,77.4,19970.3,0
2026-01-12 21:36:53.973666,88.9,41.8,71.2,43175.3,2
2026-01-12 21:51:53.973666,64.4,5.5,90.1,92535.8,2
2026-01-12 22:06:53.973666,64.1,2.0,77.0,35444.5,1
2026-01-12 22:21:53.973666,84.2,21.9,41.9,12819.2,2
2026-01-12 22:36:53.973666,90.4,11.5,78.7,38397.2,1
2026-01-12 22:51:53.973666,72.1,24.7,73.0,32851.7,0
2026-01-12 23:06:53.973666,79.6,18.2,72.3,20677.3,0
2026-01-12 23:21:53.973666,61.5,23.5,64.6,31701.4,1
2026-01-12 23:36:53.973666,61.2,30.3,75.5,38783.9,1
2026-01-12 23:51:53.973666,55.8,26.2,51.1,8455.4,2
2026-01-13 00:06:53.973666,72.4,21.6,72.7,15194.3,1
2026-01-13 00:21:53.973666,71.8,0.2,78.6,19222.5,1
2026-01-13 00:36:53.973666,82.9,11.0,43.9,1873.3,2
2026-01-13 00:51:53.973666,89.8,12.6,46.7,42713.7,2
2026-01-13 01:06:53.973666,73.0,25.2,70.6,26435.7,0
2026-01-13 01:21:53.973666,72.0,18.9,96.0,6727.4,1
2026-01-13 01:36:53.973666,91.8,21.1,76.8,26273.5,1
2026-01-13 01:51:53.973666,74.5,25.8,73.6,39015.4,0
2026-01-13 02:06:53.973666,75.0,39.5,89.8,19506.6,1
2026-01-13 02:21:53.973666,67.0,38.4,70.5,27794.7,1
2026-01-13 02:36:53.973666,12.5,26.9,70.4,24457.8,1
2026-01-13 02:51:53.973666,65.1,20.0,75.5,38245.0,0
2026-01-13 03:06:53.973666,68.7,25.2,65.8,10687.8,1
2026-01-13 03:21:53.973666,61.0,22.3,78.8,29614.3,0
2026-01-13 03:36:53.973666,95.3,29.0,71.1,95854.5,2
2026-01-13 03:51:53.973666,62.2,6.0,78.3,19983.2,1
2026-01-13 04:06:53.973666,66.3,25.0,71.6,36655.6,0
2026-01-13 04:21:53.973666,92.0,2.9,53.5,41186.6,2
